repo_name,events_30d
smithy-lang/smithy-rs,343
Himanshuvishwa007/CursorCustomModels,204
team-mirai/manifesto-body,60
ruitammyhuang/csedmaecapstone,105
webberdesign/studio,101
kattecon/gh-app-access-token-gen,128
justinstepensky/ratemylandlord,137
Zyga1993/healthygram-frontend,186
wolfiesch/diachron,72
monetr/monetr,251
balajikamalesh/exec-flow,59
sandrosilveira28/klickbee-crm,194
scottlz0310/TachoGraphWizard,131
punnch/go-tutorials,50
Billsfriend/exercism-codes,52
Mohammad-Ghouse-virtuoso/Code-other-stuff-,60
revati108/arch-board,139
Skeyelab/Zendesk-Data-Collector,161
raniop/travelsure,107
flathub/io.github.ciromattia.kcc,58
daveprotacio47/autobot-review,78
seung-jun221/istudy-vip,253
Woolverine94/biniou,195
emily-flambe/llm-benchmarks,68
s0len/Playbook,61
agregarr/agregarr,568
Mbuschi2101/IPTV,67
Titoot/Titoot,58
eclipse-zenoh/zenoh-plugin-dds,112
lipe-menezes/lipe-menezes,51
shamnik2002/SpaceNews,177
hutechwebsite/quaerat-consectetur-deleniti-commodi,109
Polishevskyi/java_framework,54
Q-Enterprises/TheQube.L0Q3R,78
uoftblueprint/inga,382
SogangAiStudy/Node,101
sitionix/app-afesox,57
iritalevorotatory830/Spotify-Playlist-Synchronization-Bot,188
tbutler1132/numinous-systems,73
Wolimzz/zskeys,55
OWASP-BLT/OWASP-BLT-Website-Monitor,1708
PolychronMidi/Polychron,90
HydrologicEngineeringCenter/cwms-cli,51
umair9747/PhishSky-CDN,295
wanaku-ai/wanaku,90
FPFletcher/looker-custom-visualizations-picasso-project,222
silasgardin/FractalV,235
gaowei1235/gift,55
Mowery39/UX-WIKI,56
zhinghu/Pumpkin,62
rduo1009/vocab-tuister,86
DiarmuidKelly/docker-borg-client,90
cdk8s-team/cdk8s-projen-common,164
alooooooozoghal-maker/Takhfifatizeh,65
OpenZeppelin/openzeppelin-confidential-contracts,85
cxpvip337/powr,89
Blackwoodproductions/webstackceo,682
Outer-Void/blux10k,102
CodedByP/Tools-For-Work,77
flashboss/myhomegames,174
aruma256/nazo-drill,51
mypdns/adblocker-rules,305
rita-codes/mui-x,88
vishvAsa/rAmAnujIyam,278
AnikBusy/fb-ecommerce,146
avsolatorio/data360-mcp,83
saboresdelfogon06-pixel/saboresdelfogon06-pixel.github.io,129
mudassiralladatkhan/AspGoat,180
35FUND/wantbehelp-3rd-LXP,394
vassouro12/Online-Texas-Hold-em-source-code,86
invi-lab/fatimayjesus,82
asli-chile/sql,118
rgriebl/brickstore-database,158
KELL066/openapi-generator,80
yudaocode/yudao-ui-admin-vben,102
omerfaruk-aran/esphome_samsung_hvac_bus,78
Puremag1c/claudev,95
0xffvirus/0xffvirus,56
scutan90/DeepLearning-500-questions,56
Dulatbay/Dulatbay,361
jcollie/ghostty,71
levelsofself/level-up-game,75
daisuketakakuwa/learning-stack2,129
turning-point-org/tpa-web-app,85
afisch710/alexfischman.dev,67
mixedbread-ai/mgrep,275
hicccup/AG,86
djimenez-savi/savi-sites-monitor,53
real-stanford/diffusion_policy,58
KometTeam/Komet,461
Artifactsmaker/facetingart,165
SanduDS/price-tracker-SL,291
Grtql/Leans,756
jesposito/shrinkray,81
KevinfromHP/Vanderlin,60
PigiB1980/WEC-2026,93
LSattar/skillstorm-project2,301
KristaDeimos/Sprint_9,55
GMOD/jbrowse-plugin-protein3d,52
daihill84/merthyr,276
jumpyjacko/audio_converter,66
oi2996814/home-assistant.io,70
mpv-player/mpv,869
Rigi-1976/ZHDV2,88
ministryofjustice/laa-apply-for-legal-aid,252
superlitenets/isp-crm-system,260
VishalY9464/BridgeLabz-Training,196
ezflow997/moba-dodge-game-simple,409
railmapgen/rmg-templates,172
CrazyForks/instant,51
NotThushar/NotThushar,90
google/orbax,363
Echoformant/cleanroom,184
ONDC-Official/automation-framework,192
Tufuwu/base_gemini,83
adimStrong/juan365-socmed-report,119
hypackel/hypackel,114
mrobinson/servo,94
SkinMC/translations,327
Fbrnsyhfbrn/Fbrnsyhfbrn,84
Saad-Samba/snipe-it,117
slord399/next-release-tag,63
jtg-inductions-fe/FE-Anmol-685-UI-Assignment,94
MRsugoii/skycar-system,69
microsoft/Security-101,55
jrmmwesigwa/Hotel-Reservation-Cancellation-Detection-MLOps,206
tomiprs0x/TimelineX,64
JBMD-Creations/HDFlowsheet-Cloud,111
guillaumekey/tools,92
umbraco/Umbraco.UI,149
navikt/kaka,74
yasar-sys/agri-shokti-bangla,56
toddlburns/todo-app,206
alliander-opensource/rcdt_robotics,66
pupokslona13377-spec/StatTrakMRKT,85
Xenonesis/Xenonesis,57
qjlxg/an_e,76
Abdullavkd/LeetCode-Problems-Solving,67
